Timestamp,TimeInCreasingInSecOnly,ScrollY,Direction,Speed (px/s),Page Height
35:57.0,0,0,None,0,1292
35:57.0,0.0164,0,None,0,1292
35:57.0,0.0328,0,None,0,1292
35:57.0,0.0492,0,None,0,1292
35:57.0,0.0656,0,None,0,1292
35:57.1,0.082,0,None,0,1292
35:57.1,0.0984,0,None,0,1292
35:57.1,0.1148,0,None,0,1292
35:57.1,0.1312,0,None,0,1292
35:57.1,0.1476,0,None,0,1292
35:57.1,0.164,0,None,0,1292
35:57.1,0.1804,0,None,0,1292
35:57.1,0.1968,0,None,0,1292
35:57.2,0.2132,0,None,0,1292
35:57.2,0.2296,0,None,0,1292
35:57.2,0.246,0,None,0,1292
35:57.2,0.2624,0,None,0,1292
35:57.2,0.2788,0,None,0,1292
35:57.2,0.2952,0,None,0,1292
35:57.2,0.3116,0,None,0,1292
35:57.3,0.328,0,None,0,1292
35:57.3,0.3444,0,None,0,1292
35:57.3,0.3608,0,None,0,1292
35:57.3,0.3772,0,None,0,1292
35:57.3,0.3936,0,None,0,1292
35:57.3,0.41,0,None,0,1292
35:57.3,0.4264,0,None,0,1292
35:57.4,0.4428,0,None,0,1292
35:57.4,0.4592,0,None,0,1292
35:57.4,0.4756,0,None,0,1292
35:57.4,0.492,0,None,0,1292
35:57.4,0.5084,0,None,0,1292
35:57.4,0.5248,0,None,0,1292
35:57.5,0.5412,0,None,0,1292
35:57.5,0.5576,0,None,0,1292
35:57.5,0.574,0,None,0,1292
35:57.5,0.5904,0,None,0,1292
35:57.5,0.6068,0,None,0,1292
35:57.5,0.6232,0,None,0,1292
35:57.5,0.6396,0,None,0,1292
35:57.5,0.656,0,None,0,1292
35:57.5,0.6724,0,None,0,1292
35:57.5,0.6888,0,None,0,1292
35:57.5,0.7052,0,None,0,1292
35:57.5,0.7216,0,None,0,1292
35:57.5,0.738,0,None,0,1292
35:57.5,0.7544,0,None,0,1292
35:57.5,0.7708,0,None,0,1292
35:57.5,0.7872,0,None,0,1292
35:57.5,0.8036,0,None,0,1292
35:57.6,0.82,0,None,0,1292
35:57.6,0.8364,0,None,0,1292
35:57.6,0.8528,0,None,0,1292
35:57.6,0.8692,0,None,0,1292
35:57.6,0.8856,0,None,0,1292
35:57.6,0.902,0,None,0,1292
35:57.6,0.9184,0,None,0,1292
35:57.6,0.9348,0,None,0,1292
35:57.6,0.9512,0,None,0,1292
35:57.6,0.9676,0,None,0,1292
35:57.6,0.984,0,None,0,1292
35:57.6,1.0004,0,None,0,1292
35:57.7,1.0168,0,None,0,1292
35:57.7,1.0332,0,None,0,1292
35:57.7,1.0496,0,None,0,1292
35:57.7,1.066,0,None,0,1292
35:57.7,1.0824,0,None,0,1292
35:57.7,1.0988,0,None,0,1292
35:57.7,1.1152,0,None,0,1292
35:57.7,1.1316,0,None,0,1292
35:57.7,1.148,0,None,0,1292
35:57.7,1.1644,0,None,0,1292
35:57.7,1.1808,0,None,0,1292
35:57.7,1.1972,0,None,0,1292
35:57.7,1.2136,0,None,0,1292
35:57.7,1.23,0,None,0,1292
35:57.8,1.2464,0,None,0,1292
35:57.8,1.2628,0,None,0,1292
35:57.8,1.2792,0,None,0,1292
35:57.8,1.2956,0,None,0,1292
35:57.8,1.312,0,None,0,1292
35:57.8,1.3284,0,None,0,1292
35:57.8,1.3448,0,None,0,1292
35:57.8,1.3612,0,None,0,1292
35:57.8,1.3776,0,None,0,1292
35:57.8,1.394,0,None,0,1292
35:57.8,1.4104,0,None,0,1292
35:57.8,1.4268,0,None,0,1292
35:57.8,1.4432,0,None,0,1292
35:57.8,1.4596,0,None,0,1292
35:57.8,1.476,0,None,0,1292
35:57.9,1.4924,0,None,0,1292
35:57.9,1.5088,0,None,0,1292
35:57.9,1.5252,0,None,0,1292
35:57.9,1.5416,0,None,0,1292
35:57.9,1.558,0,None,0,1292
35:57.9,1.5744,0,None,0,1292
35:57.9,1.5908,0,None,0,1292
35:57.9,1.6072,0,None,0,1292
35:57.9,1.6236,0,None,0,1292
35:57.9,1.64,0,None,0,1292
35:57.9,1.6564,0,None,0,1292
35:58.0,1.6728,0,None,0,1292
35:58.0,1.6892,0,None,0,1292
35:58.0,1.7056,0,None,0,1292
35:58.0,1.722,0,None,0,1292
35:58.0,1.7384,0,None,0,1292
35:58.0,1.7548,0,None,0,1292
35:58.0,1.7712,0,None,0,1292
35:58.0,1.7876,0,None,0,1292
35:58.0,1.804,0,None,0,1292
35:58.0,1.8204,0,None,0,1292
35:58.0,1.8368,0,None,0,1292
35:58.0,1.8532,0,None,0,1292
35:58.0,1.8696,0,None,0,1292
35:58.0,1.886,0,None,0,1292
35:58.0,1.9024,0,None,0,1292
35:58.1,1.9188,0,None,0,1292
35:58.1,1.9352,0,None,0,1292
35:58.1,1.9516,0,None,0,1292
35:58.1,1.968,0,None,0,1292
35:58.1,1.9844,0,None,0,1292
35:58.1,2.0008,0,None,0,1292
35:58.1,2.0172,0,None,0,1292
35:58.1,2.0336,0,None,0,1292
35:58.1,2.05,0,None,0,1292
35:58.1,2.0664,0,None,0,1292
35:58.1,2.0828,0,None,0,1292
35:58.1,2.0992,0,None,0,1292
35:58.2,2.1156,0,None,0,1292
35:58.2,2.132,0,None,0,1292
35:58.2,2.1484,0,None,0,1292
35:58.2,2.1648,0,None,0,1292
35:58.2,2.1812,0,None,0,1292
35:58.2,2.1976,0,None,0,1292
35:58.2,2.214,0,None,0,1292
35:58.3,2.2304,0,None,0,1292
35:58.3,2.2468,0,None,0,1292
35:58.3,2.2632,0,None,0,1292
35:58.3,2.2796,0,None,0,1292
35:58.3,2.296,0,None,0,1292
35:58.3,2.3124,0,None,0,1292
35:58.3,2.3288,0,None,0,1292
35:58.4,2.3452,0,None,0,1292
35:58.4,2.3616,0,None,0,1292
35:58.4,2.378,0,None,0,1292
35:58.4,2.3944,0,None,0,1292
35:58.4,2.4108,0,None,0,1292
35:58.4,2.4272,0,None,0,1292
35:58.4,2.4436,0,None,0,1292
35:58.4,2.46,0,None,0,1292
35:58.5,2.4764,0,None,0,1292
35:58.5,2.4928,0,None,0,1292
35:58.5,2.5092,0,None,0,1292
35:58.5,2.5256,0,None,0,1292
35:58.5,2.542,0,None,0,1292
35:58.5,2.5584,0,None,0,1292
35:58.6,2.5748,0,None,0,1292
35:58.6,2.5912,0,None,0,1292
35:58.6,2.6076,0,None,0,1292
35:58.6,2.624,0,None,0,1292
35:58.6,2.6404,0,None,0,1292
35:58.6,2.6568,0,None,0,1292
35:58.6,2.6732,0,None,0,1292
35:58.6,2.6896,0,None,0,1292
35:58.7,2.706,0,None,0,1292
35:58.7,2.7224,0,None,0,1292
35:58.7,2.7388,0,None,0,1292
35:58.7,2.7552,0,None,0,1292
35:58.7,2.7716,0,None,0,1292
35:58.7,2.788,0,None,0,1292
35:58.7,2.8044,0,None,0,1292
35:58.8,2.8208,0,None,0,1292
35:58.8,2.8372,0,None,0,1292
35:58.8,2.8536,0,None,0,1292
35:58.8,2.87,0,None,0,1292
35:58.8,2.8864,0,None,0,1292
35:58.8,2.9028,0,None,0,1292
35:58.9,2.9192,0,None,0,1292
35:58.9,2.9356,0,None,0,1292
35:58.9,2.952,0,None,0,1292
35:58.9,2.9684,0,None,0,1292
35:58.9,2.9848,0,None,0,1292
35:58.9,3.0012,0,None,0,1292
35:59.0,3.0176,0,None,0,1292
35:59.0,3.034,0,None,0,1292
35:59.0,3.0504,0,None,0,1292
35:59.0,3.0668,0,None,0,1292
35:59.0,3.0832,0,None,0,1292
35:59.0,3.0996,0,None,0,1292
35:59.0,3.116,0,None,0,1292
35:59.0,3.1324,0,None,0,1292
35:59.0,3.1488,0,None,0,1292
35:59.0,3.1652,0,None,0,1292
35:59.0,3.1816,0,None,0,1292
35:59.0,3.198,0,None,0,1292
35:59.0,3.2144,0,None,0,1292
35:59.0,3.2308,0,None,0,1292
35:59.0,3.2472,0,None,0,1292
35:59.0,3.2636,0,None,0,1292
35:59.1,3.28,0,None,0,1292
35:59.1,3.2964,0,None,0,1292
35:59.1,3.3128,0,None,0,1292
35:59.1,3.3292,0,None,0,1292
35:59.1,3.3456,0,None,0,1292
35:59.1,3.362,0,None,0,1292
35:59.1,3.3784,0,None,0,1292
35:59.1,3.3948,0,None,0,1292
35:59.1,3.4112,0,None,0,1292
35:59.2,3.4276,0,None,0,1292
35:59.2,3.444,0,None,0,1292
35:59.2,3.4604,0,None,0,1292
35:59.2,3.4768,0,None,0,1292
35:59.2,3.4932,0,None,0,1292
35:59.2,3.5096,0,None,0,1292
35:59.3,3.526,0,None,0,1292
35:59.3,3.5424,0,None,0,1292
35:59.3,3.5588,0,None,0,1292
35:59.3,3.5752,0,None,0,1292
35:59.3,3.5916,0,None,0,1292
35:59.3,3.608,0,None,0,1292
35:59.3,3.6244,0,None,0,1292
35:59.4,3.6408,0,None,0,1292
35:59.4,3.6572,0,None,0,1292
35:59.4,3.6736,0,None,0,1292
35:59.4,3.69,0,None,0,1292
35:59.4,3.7064,0,None,0,1292
35:59.4,3.7228,0,None,0,1292
35:59.5,3.7392,0,None,0,1292
35:59.5,3.7556,0,None,0,1292
35:59.5,3.772,0,None,0,1292
35:59.5,3.7884,0,None,0,1292
35:59.5,3.8048,0,None,0,1292
35:59.5,3.8212,0,None,0,1292
35:59.5,3.8376,0,None,0,1292
35:59.5,3.854,0,None,0,1292
35:59.6,3.8704,0,None,0,1292
35:59.6,3.8868,0,None,0,1292
35:59.6,3.9032,0,None,0,1292
35:59.6,3.9196,0,None,0,1292
35:59.6,3.936,0,None,0,1292
35:59.6,3.9524,0,None,0,1292
35:59.7,3.9688,0,None,0,1292
35:59.7,3.9852,0,None,0,1292
35:59.7,4.0016,0,None,0,1292
35:59.7,4.018,0,None,0,1292
35:59.7,4.0344,0,None,0,1292
35:59.7,4.0508,0,None,0,1292
35:59.7,4.0672,0,None,0,1292
35:59.7,4.0836,0,None,0,1292
35:59.7,4.1,0,None,0,1292
35:59.7,4.1164,0,None,0,1292
35:59.7,4.1328,0,None,0,1292
35:59.7,4.1492,0,None,0,1292
35:59.7,4.1656,0,None,0,1292
35:59.7,4.182,0,None,0,1292
35:59.7,4.1984,0,None,0,1292
35:59.7,4.2148,0,None,0,1292
35:59.7,4.2312,0,None,0,1292
35:59.7,4.2476,0,None,0,1292
35:59.8,4.264,0,None,0,1292
35:59.8,4.2804,0,None,0,1292
35:59.8,4.2968,0,None,0,1292
35:59.8,4.3132,0,None,0,1292
35:59.8,4.3296,0,None,0,1292
35:59.8,4.346,0,None,0,1292
35:59.8,4.3624,0,None,0,1292
35:59.8,4.3788,0,None,0,1292
35:59.8,4.3952,0,None,0,1292
35:59.8,4.4116,0,None,0,1292
35:59.8,4.428,0,None,0,1292
35:59.8,4.4444,0,None,0,1292
35:59.8,4.4608,0,None,0,1292
35:59.8,4.4772,0,None,0,1292
35:59.8,4.4936,0,None,0,1292
35:59.8,4.51,0,None,0,1292
35:59.8,4.5264,0,None,0,1292
35:59.8,4.5428,0,None,0,1292
35:59.8,4.5592,0,None,0,1292
35:59.8,4.5756,0,None,0,1292
35:59.8,4.592,0,None,0,1292
35:59.8,4.6084,0,None,0,1292
35:59.8,4.6248,0,None,0,1292
35:59.8,4.6412,0,None,0,1292
35:59.8,4.6576,0,None,0,1292
35:59.9,4.674,0,None,0,1292
35:59.9,4.6904,0,None,0,1292
35:59.9,4.7068,0,None,0,1292
35:59.9,4.7232,0,None,0,1292
35:59.9,4.7396,0,None,0,1292
35:59.9,4.756,0,None,0,1292
35:59.9,4.7724,0,None,0,1292
35:59.9,4.7888,0,None,0,1292
35:59.9,4.8052,0,None,0,1292
35:59.9,4.8216,0,None,0,1292
35:59.9,4.838,0,None,0,1292
35:59.9,4.8544,0,None,0,1292
35:59.9,4.8708,0,None,0,1292
35:59.9,4.8872,0,None,0,1292
35:59.9,4.9036,0,None,0,1292
35:59.9,4.92,0,None,0,1292
35:59.9,4.9364,0,None,0,1292
35:59.9,4.9528,0,None,0,1292
35:59.9,4.9692,0,None,0,1292
35:59.9,4.9856,0,None,0,1292
35:59.9,5.002,0,None,0,1292
35:59.9,5.0184,0,None,0,1292
35:59.9,5.0348,0,None,0,1292
35:59.9,5.0512,0,None,0,1292
35:59.9,5.0676,0,None,0,1292
36:00.0,5.084,0,None,0,1292
36:00.0,5.1004,0,None,0,1292
36:00.0,5.1168,0,None,0,1292
36:00.0,5.1332,0,None,0,1292
36:00.0,5.1496,0,None,0,1292
36:00.0,5.166,0,None,0,1292
36:00.0,5.1824,0,None,0,1292
36:00.0,5.1988,0,None,0,1292
36:00.0,5.2152,0,None,0,1292
36:00.0,5.2316,0,None,0,1292
36:00.0,5.248,0,None,0,1292
36:00.0,5.2644,0,None,0,1292
36:00.0,5.2808,0,None,0,1292
36:00.0,5.2972,0,None,0,1292
36:00.0,5.3136,0,None,0,1292
36:00.0,5.33,0,None,0,1292
36:00.0,5.3464,0,None,0,1292
36:00.0,5.3628,0,None,0,1292
36:00.0,5.3792,0,None,0,1292
36:00.0,5.3956,0,None,0,1292
36:00.0,5.412,0,None,0,1292
36:00.0,5.4284,0,None,0,1292
36:00.0,5.4448,0,None,0,1292
36:00.0,5.4612,0,None,0,1292
36:00.0,5.4776,0,None,0,1292
36:00.1,5.494,0,None,0,1292
36:00.1,5.5104,0,None,0,1292
36:00.1,5.5268,0,None,0,1292
36:00.1,5.5432,0,None,0,1292
36:00.1,5.5596,0,None,0,1292
36:00.1,5.576,0,None,0,1292
36:00.1,5.5924,0,None,0,1292
36:00.1,5.6088,0,None,0,1292
36:00.1,5.6252,0,None,0,1292
36:00.1,5.6416,0,None,0,1292
36:00.1,5.658,0,None,0,1292
36:00.1,5.6744,0,None,0,1292
36:00.1,5.6908,0,None,0,1292
36:00.1,5.7072,0,None,0,1292
36:00.1,5.7236,0,None,0,1292
36:00.1,5.74,0,None,0,1292
36:00.1,5.7564,0,None,0,1292
36:00.1,5.7728,0,None,0,1292
36:00.1,5.7892,0,None,0,1292
36:00.1,5.8056,0,None,0,1292
36:00.1,5.822,0,None,0,1292
36:00.1,5.8384,0,None,0,1292
36:00.1,5.8548,0,None,0,1292
36:00.1,5.8712,0,None,0,1292
36:00.1,5.8876,0,None,0,1292
36:00.2,5.904,0,None,0,1292
36:00.2,5.9204,0,None,0,1292
36:00.2,5.9368,0,None,0,1292
36:00.2,5.9532,0,None,0,1292
36:00.2,5.9696,0,None,0,1292
36:00.2,5.986,0,None,0,1292
36:00.2,6.0024,0,None,0,1292
36:00.2,6.0188,0,None,0,1292
36:00.2,6.0352,0,None,0,1292
36:00.2,6.0516,0,None,0,1292
36:00.2,6.068,0,None,0,1292
36:00.2,6.0844,0,None,0,1292
36:00.2,6.1008,0,None,0,1292
36:00.2,6.1172,0,None,0,1292
36:00.2,6.1336,0,None,0,1292
36:00.2,6.15,0,None,0,1292
36:00.2,6.1664,0,None,0,1292
36:00.2,6.1828,0,None,0,1292
36:00.2,6.1992,0,None,0,1292
36:00.2,6.2156,0,None,0,1292
36:00.2,6.232,0,None,0,1292
36:00.2,6.2484,0,None,0,1292
36:00.2,6.2648,0,None,0,1292
36:00.2,6.2812,0,None,0,1292
36:00.2,6.2976,0,None,0,1292
36:00.3,6.314,0,None,0,1292
36:00.3,6.3304,0,None,0,1292
36:00.3,6.3468,0,None,0,1292
36:00.3,6.3632,0,None,0,1292
36:00.3,6.3796,0,None,0,1292
36:00.3,6.396,0,None,0,1292
36:00.3,6.4124,0,None,0,1292
36:00.3,6.4288,0,None,0,1292
36:00.3,6.4452,0,None,0,1292
36:00.3,6.4616,0,None,0,1292
36:00.3,6.478,0,None,0,1292
36:00.3,6.4944,0,None,0,1292
36:00.3,6.5108,0,None,0,1292
36:00.3,6.5272,0,None,0,1292
36:00.3,6.5436,0,None,0,1292
36:00.3,6.56,0,None,0,1292
36:00.3,6.5764,0,None,0,1292
36:00.3,6.5928,0,None,0,1292
36:00.3,6.6092,0,None,0,1292
36:00.3,6.6256,0,None,0,1292
36:00.3,6.642,0,None,0,1292
36:00.3,6.6584,0,None,0,1292
36:00.3,6.6748,0,None,0,1292
36:00.3,6.6912,0,None,0,1292
36:00.3,6.7076,0,None,0,1292
36:00.4,6.724,0,None,0,1292
36:00.4,6.7404,0,None,0,1292
36:00.4,6.7568,0,None,0,1292
36:00.4,6.7732,0,None,0,1292
36:00.4,6.7896,0,None,0,1292
36:00.4,6.806,0,None,0,1292
36:00.4,6.8224,0,None,0,1292
36:00.4,6.8388,0,None,0,1292
36:00.4,6.8552,0,None,0,1292
36:00.4,6.8716,0,None,0,1292
36:00.4,6.888,0,None,0,1292
36:00.4,6.9044,0,None,0,1292
36:00.4,6.9208,0,None,0,1292
36:00.4,6.9372,0,None,0,1292
36:00.4,6.9536,0,None,0,1292
36:00.4,6.97,0,None,0,1292
36:00.4,6.9864,0,None,0,1292
36:00.4,7.0028,0,None,0,1292
36:00.4,7.0192,0,None,0,1292
36:00.4,7.0356,0,None,0,1292
36:00.4,7.052,0,None,0,1292
36:00.4,7.0684,0,None,0,1292
36:00.4,7.0848,0,None,0,1292
36:00.4,7.1012,0,None,0,1292
36:00.4,7.1176,0,None,0,1292
36:00.5,7.134,0,None,0,1292
36:00.5,7.1504,0,None,0,1292
36:00.5,7.1668,0,None,0,1292
36:00.5,7.1832,0,None,0,1292
36:00.5,7.1996,0,None,0,1292
36:00.5,7.216,0,None,0,1292
36:00.5,7.2324,0,None,0,1292
36:00.5,7.2488,0,None,0,1292
36:00.5,7.2652,0,None,0,1292
36:00.5,7.2816,0,None,0,1292
36:00.5,7.298,0,None,0,1292
36:00.5,7.3144,0,None,0,1292
36:00.5,7.3308,0,None,0,1292
36:00.5,7.3472,0,None,0,1292
36:00.5,7.3636,0,None,0,1292
36:00.5,7.38,0,None,0,1292
36:00.5,7.3964,0,None,0,1292
36:00.5,7.4128,0,None,0,1292
36:00.5,7.4292,0,None,0,1292
36:00.5,7.4456,0,None,0,1292
36:00.5,7.462,0,None,0,1292
36:00.5,7.4784,0,None,0,1292
36:00.5,7.4948,0,None,0,1292
36:00.5,7.5112,0,None,0,1292
36:00.5,7.5276,0,None,0,1292
36:00.6,7.544,0,None,0,1292
36:00.6,7.5604,0,None,0,1292
36:00.6,7.5768,0,None,0,1292
36:00.6,7.5932,0,None,0,1292
36:00.6,7.6096,0,None,0,1292
36:00.6,7.626,0,None,0,1292
36:00.6,7.6424,0,None,0,1292
36:00.6,7.6588,0,None,0,1292
36:00.6,7.6752,0,None,0,1292
36:00.6,7.6916,0,None,0,1292
36:00.6,7.708,0,None,0,1292
36:00.6,7.7244,0,None,0,1292
36:00.6,7.7408,0,None,0,1292
36:00.6,7.7572,0,None,0,1292
36:00.6,7.7736,0,None,0,1292
36:00.6,7.79,0,None,0,1292
36:00.6,7.8064,0,None,0,1292
36:00.6,7.8228,0,None,0,1292
36:00.6,7.8392,0,None,0,1292
36:00.6,7.8556,0,None,0,1292
36:00.6,7.872,0,None,0,1292
36:00.6,7.8884,0,None,0,1292
